f1,f2,algorithm,cv_auc
Stint,LapTime_Delta,LogReg,0.6965518235049152
Stint,LapTime_Delta,DecisionTree,0.8388143736926318
Stint,LapTime_Delta,RandomForest,0.8451322167001935
Stint,Cumulative_Degradation,LightGBM,0.8103639036554631
Stint,Cumulative_Degradation,LogReg,0.6982030823358911
Stint,Cumulative_Degradation,DecisionTree,0.8010481110245796
Stint,Cumulative_Degradation,RandomForest,0.8084805129750723
Stint,RaceProgress,LightGBM,0.7994814249561539
Stint,RaceProgress,LogReg,0.6843983901284449
Stint,RaceProgress,DecisionTree,0.7807391876100706
Stint,RaceProgress,RandomForest,0.7944315428449421
Stint,Position_Change,LightGBM,0.814135981945623
Stint,Position_Change,LogReg,0.6914485880845734
Stint,Position_Change,DecisionTree,0.8233854680087256
Stint,Position_Change,RandomForest,0.8243254690827302
TyreLife,Position,LightGBM,0.705851979210645
TyreLife,Position,LogReg,0.7024057098860251
TyreLife,Position,DecisionTree,0.7051793777618462
TyreLife,Position,RandomForest,0.7063181713474302
TyreLife,LapTime (s),LightGBM,0.7358072691708766
TyreLife,LapTime (s),LogReg,0.698694031270134
TyreLife,LapTime (s),DecisionTree,0.7187009516771998
TyreLife,LapTime (s),RandomForest,0.7321095140758092
TyreLife,LapTime_Delta,LightGBM,0.8192878547708355
TyreLife,LapTime_Delta,LogReg,0.7007218550220409
TyreLife,LapTime_Delta,DecisionTree,0.8064517236946932
TyreLife,LapTime_Delta,RandomForest,0.8147410821285093
TyreLife,Cumulative_Degradation,LightGBM,0.7646449864965437
TyreLife,Cumulative_Degradation,LogReg,0.7099688145417057
TyreLife,Cumulative_Degradation,DecisionTree,0.7524846993563514
TyreLife,Cumulative_Degradation,RandomForest,0.7590359971605787
TyreLife,RaceProgress,LightGBM,0.833024341627307
TyreLife,RaceProgress,LogReg,0.6996068171945561
TyreLife,RaceProgress,DecisionTree,0.7771571909118569
TyreLife,RaceProgress,RandomForest,0.809936992626498
TyreLife,Position_Change,LightGBM,0.7910067372564895
TyreLife,Position_Change,LogReg,0.6979770371304663
TyreLife,Position_Change,DecisionTree,0.789109098365724
TyreLife,Position_Change,RandomForest,0.7906263338251032
Position,LapTime (s),LightGBM,0.6408876372689701
Position,LapTime (s),LogReg,0.5408479404706826
Position,LapTime (s),DecisionTree,0.629074603895684
Position,LapTime (s),RandomForest,0.6357695676842294
Position,LapTime_Delta,LightGBM,0.720094456244816
Position,LapTime_Delta,LogReg,0.518101300952953
Position,LapTime_Delta,DecisionTree,0.7080050828967595
Position,LapTime_Delta,RandomForest,0.7146658280178915
Position,Cumulative_Degradation,LightGBM,0.7001634450827391
Position,Cumulative_Degradation,LogReg,0.6115609741776672
Position,Cumulative_Degradation,DecisionTree,0.6770408996369846
Position,Cumulative_Degradation,RandomForest,0.687610335981714
Position,RaceProgress,LightGBM,0.7494957681805168
Position,RaceProgress,LogReg,0.6651823949072916
Position,RaceProgress,DecisionTree,0.7284807982600653
Position,RaceProgress,RandomForest,0.7322019150611432
